first_name,last_name,year_of_birth,name_raw,party,electorate,state,years_in_office,approx_age
Simon,Kennedy,1982,"Simon Kennedy
(born 1982)",Liberal,Cook,NSW,2024–current,43
Matt,Keogh,1981,"Matt Keogh
(born 1981)",Labor,Burt,WA,2016–current,44
Peter,Khalil,1973,"Peter Khalil
(born 1973)",Labor,Wills,Vic,2016–current,52
Catherine,King,1966,"Catherine King
(born 1966)",Labor,Ballarat,Vic,2001–current,59
Madeleine,King,1973,"Madeleine King
(born 1973)",Labor,Brand,WA,2016–current,52
Michelle,Landry,1962,"Michelle Landry
(born 1962)",National[a],Capricornia,Qld,2013–current,63
Tania,Lawrence,1973,"Tania Lawrence
(born 1973)",Labor,Hasluck,WA,2022–current,52
Jerome,Laxale,1983,"Jerome Laxale
(born 1983)",Labor,Bennelong,NSW,2022–current,42
Dai,Le,1968,"Dai Le
(born 1968)",Independent,Fowler,NSW,2022–current,57
Julian,Leeser,1976,"Julian Leeser
(born 1976)",Liberal,Berowra,NSW,2016–current,49
Andrew,Leigh,1972,"Andrew Leigh
(born 1972)",Labor,Fenner,ACT,2010–current,53
Sussan,Ley,1961,"Sussan Ley
(born 1961)",Liberal,Farrer,NSW,2001–current,64
Sam,Lim,1961,"Sam Lim
(born 1961)",Labor,Tangney,WA,2022–current,64
David,Littleproud,1976,"David Littleproud
(born 1976)",National[a],Maranoa,Qld,2016–current,49
Richard,Marles,1967,"Richard Marles
(born 1967)",Labor,Corio,Vic,2007–current,58
Zaneta,Mascarenhas,1980,"Zaneta Mascarenhas
(born 1980)",Labor,Swan,WA,2022–current,45
Kristy,McBain,1982,"Kristy McBain 
(born 1982)",Labor,Eden-Monaro,NSW,2020–current,43
Emma,McBride,1975,"Emma McBride
(born 1975)",Labor,Dobell,NSW,2016–current,50
Michael,McCormack,1964,"Michael McCormack
(born 1964)",National,Riverina,NSW,2010–current,61
Melissa,McIntosh,1977,"Melissa McIntosh
(born 1977)",Liberal,Lindsay,NSW,2019–current,48
Zoe,McKenzie,1972,"Zoe McKenzie
(born1972)",Liberal,Flinders,Vic,2022-current,53
Louise,Miller-Frost,1967,"Louise Miller-Frost
(born 1967)",Labor,Boothby,SA,2022–current,58
Rob,Mitchell,1967,"Rob Mitchell
(born 1967)",Labor,McEwen,Vic,2010–current,58
David,Moncrieff,NA,"David Moncrieff
(born ?)",Labor,Hughes,NSW,2025–current,NA
Daniel,Mulino,1969,"Daniel Mulino
(born 1969)",Labor,Fraser,Vic,2019–current,56
Shayne,Neumann,1961,"Shayne Neumann
(born 1961)",Labor,Blair,Qld,2007–current,64
Gabriel,Ng,NA,"Gabriel Ng
(born ?)",Labor,Menzies,Vic,2025–current,NA
