col1,col2,col3,col4,col5
         63734: (32.7483,86.7439,50.3014) #215732 srgb(12.8425%,34.02%,19.726%)
         46368: (62.4798,72.9368,63.0621) #3E493F srgb(24.5019%,28.60%,24.7303%)
         37352: (89.1474,83.2746,49.9659) #595332 srgb(34.9598%,32.66%,19.5945%)
         30674: (119.106,137.79,117.828) #778A76 srgb(46.7084%,54.04%,46.2071%)
         23062: (147.007,91.3955,73.3643) #935B49 srgb(57.6499%,35.84%,28.7703%)
         19368: (167.173,169.312,143.935) #A7A990 srgb(65.5579%,66.40%,56.445%)
