col1,col2,col3,col4,col5
        124726: (36.3728,30.9704,27.8732) #241F1C srgb(14.2638%,12.15%,10.9307%)
          7586: (61.1995,62.4951,63.6872) #3D3E40 srgb(23.9998%,24.51%,24.9754%)
         31560: (72.5049,56.0026,40.369) #493828 srgb(28.4333%,21.96%,15.831%)
         10238: (85.7287,72.41,51.1653) #564833 srgb(33.6191%,28.40%,20.0648%)
          4241: (89.52,82.4566,69.7448) #5A5246 srgb(35.1059%,32.34%,27.3509%)
           291: (131.992,109.71,68.0484) #846E44 srgb(51.7615%,43.02%,26.6856%)
