col1,col2,col3,col4,col5
        124622: (37.4118,35.0596,33.6646) #252322 srgb(14.6713%,13.75%,13.2018%)
         66557: (92.4275,75.0804,57.5652) #5C4B3A srgb(36.2461%,29.44%,22.5746%)
         36334: (117.063,161.382,180.104) #75A1B4 srgb(45.907%,63.29%,70.629%)
          9790: (134.25,133.727,107.937) #86866C srgb(52.6471%,52.44%,42.3283%)
         28087: (140.479,178.673,172.943) #8CB3AD srgb(55.09%,70.07%,67.8209%)
         31610: (143.311,98.4303,57.8809) #8F623A srgb(56.2005%,38.60%,22.6984%)
