col1,col2,col3,col4,col5
         97363: (41.9925,37.6179,30.2127) #2A261E srgb(16.4676%,14.75%,11.8481%)
         29698: (87.2685,78.3288,72.7888) #574E49 srgb(34.2229%,30.72%,28.5446%)
         56970: (87.2852,47.581,25.367) #573019 srgb(34.2295%,18.66%,9.94785%)
         59402: (104.205,84.9603,29.8052) #68551E srgb(40.8647%,33.32%,11.6883%)
         27116: (162.693,127.7,87.6273) #A38058 srgb(63.8014%,50.08%,34.3637%)
         43821: (202.729,184.584,152.215) #CBB998 srgb(79.5016%,72.39%,59.692%)
