col1,col2,col3,col4,col5
         27919: (101.504,94.5579,65.23) #665F41 srgb(39.8056%,37.08%,25.5804%)
         13370: (118.084,135.511,111.272) #76886F srgb(46.3074%,53.14%,43.636%)
         26787: (147.434,112.552,77.9107) #93714E srgb(57.8172%,44.14%,30.5532%)
         50310: (165.469,149.167,100.815) #A59565 srgb(64.8896%,58.50%,39.5351%)
         60509: (188.092,178.92,153.803) #BCB39A srgb(73.7617%,70.16%,60.3147%)
         29188: (190.654,162.135,96.9835) #BFA261 srgb(74.7662%,63.58%,38.0328%)
