col1,col2,col3,col4,col5
         45990: (81.984,63.5973,40.8404) #524029 srgb(32.1506%,24.94%,16.0158%)
         58920: (103.589,85.0373,39.5357) #685528 srgb(40.623%,33.35%,15.5042%)
         11252: (112.255,138.858,130.465) #708B82 srgb(44.0217%,54.45%,51.1627%)
         74416: (150.934,104.001,63.0887) #97683F srgb(59.1897%,40.78%,24.7407%)
         67822: (175.951,144.682,97.5248) #B09162 srgb(69.0005%,56.74%,38.245%)
         60600: (194.966,181.375,161.669) #C3B5A2 srgb(76.4572%,71.13%,63.3998%)
