col1,col2,col3,col4,col5
         35172: (89.2988,101.568,84.177) #596654 srgb(35.0191%,39.83%,33.0106%)
         37966: (121.64,125.379,110.763) #7A7D6F srgb(47.7019%,49.17%,43.4365%)
         57043: (166.303,162.636,149.128) #A6A395 srgb(65.217%,63.78%,58.4814%)
         52693: (170.209,154.084,109.322) #AA9A6D srgb(66.7485%,60.43%,42.8713%)
         51931: (206.099,188.25,169.02) #CEBCA9 srgb(80.8233%,73.82%,66.2823%)
         87549: (211.605,197.804,179.054) #D4C6B3 srgb(82.9825%,77.57%,70.2174%)
