col1,col2,col3,col4,col5
         22942: (89.5761,122.043,143.52) #5A7A90 srgb(35.1279%,47.86%,56.2822%)
         57462: (94.6524,83.2911,79.7505) #5F5350 srgb(37.1186%,32.66%,31.2747%)
         55236: (109.58,152.332,181.041) #6E98B5 srgb(42.9726%,59.74%,70.9966%)
         70682: (154.953,102.093,86.6657) #9B6657 srgb(60.7659%,40.04%,33.9865%)
         69029: (171.008,172.485,158.906) #ABAC9F srgb(67.0618%,67.64%,62.3163%)
         63969: (191.083,145.972,106.627) #BF926B srgb(74.9346%,57.24%,41.8145%)
