col1,col2,col3,col4,col5
         60517: (75.9845,63.6853,37.8816) #4C4026 srgb(29.7979%,24.97%,14.8555%)
         58240: (101.364,87.1333,38.5655) #655727 srgb(39.7507%,34.17%,15.1237%)
         18814: (119.592,131.19,100.304) #788364 srgb(46.8987%,51.45%,39.3347%)
         51054: (140.932,113.418,62.0976) #8D713E srgb(55.2674%,44.48%,24.352%)
         58115: (166.794,148.244,90.9605) #A7945B srgb(65.4094%,58.13%,35.6708%)
         89760: (195.709,184.447,157.926) #C4B89E srgb(76.7486%,72.33%,61.9318%)
