col1,col2,col3,col4,col5
         28414: (93.1431,91.3232,53.1649) #5D5B35 srgb(36.5267%,35.81%,20.849%)
         20399: (99.7937,142.502,94.4841) #648F5E srgb(39.1348%,55.88%,37.0526%)
         54109: (172.041,89.0747,44.9584) #AC592D srgb(67.4671%,34.93%,17.6307%)
         71840: (188.13,162.27,70.477) #BCA246 srgb(73.7764%,63.64%,27.638%)
         69947: (209.297,195.452,157.651) #D1C39E srgb(82.0774%,76.65%,61.8239%)
         59681: (209.944,170.394,91.5533) #D2AA5C srgb(82.331%,66.82%,35.9033%)
