col1,col2,col3,col4,col5
         69052: (84.4854,62.3974,47.6713) #543E30 srgb(33.1315%,24.47%,18.6946%)
         21187: (111.641,140.374,119.054) #708C77 srgb(43.7806%,55.05%,46.6877%)
         53918: (156.344,91.686,38.9729) #9C5C27 srgb(61.3112%,35.96%,15.2835%)
         31512: (162.249,86.6416,64.6981) #A25741 srgb(63.6272%,33.98%,25.3718%)
         84114: (196.339,164.032,82.1657) #C4A452 srgb(76.9955%,64.33%,32.2219%)
         53717: (200.985,190.151,159.884) #C9BEA0 srgb(78.8175%,74.57%,62.6996%)
