col1,col2,col3,col4,col5
        123264: (49.6083,42.9954,36.0401) #322B24 srgb(19.4542%,16.86%,14.1334%)
         74304: (73.7406,51.9278,40.4137) #4A3428 srgb(28.9179%,20.36%,15.8485%)
         28712: (85.9954,83.3842,75.983) #56534C srgb(33.7237%,32.70%,29.7973%)
         35817: (90.5492,75.543,45.1734) #5B4C2D srgb(35.5095%,29.62%,17.715%)
         21063: (141.639,107.098,71.1416) #8E6B47 srgb(55.5447%,42.00%,27.8987%)
         22840: (177.761,174.444,148.157) #B2AE94 srgb(69.7103%,68.41%,58.1006%)
