col1,col2,col3,col4,col5
         71709: (26.5358,98.7705,85.1566) #1B6355 srgb(10.4062%,38.73%,33.3948%)
         59301: (50.1235,79.1953,68.2208) #324F44 srgb(19.6563%,31.06%,26.7533%)
         48651: (82.9045,141.571,112.13) #538E70 srgb(32.5116%,55.52%,43.9726%)
         37691: (100.33,155.445,139.174) #649B8B srgb(39.3452%,60.96%,54.5782%)
         31862: (153.149,151.898,114.097) #999872 srgb(60.0583%,59.57%,44.7441%)
         69786: (173.07,177.37,151.668) #ADB198 srgb(67.8706%,69.56%,59.4777%)
