col1,col2,col3,col4,col5
         17780: (85.587,66.6494,73.0036) #564349 srgb(33.5635%,26.14%,28.6289%)
         15535: (98.4505,151.42,137.548) #62978A srgb(38.608%,59.38%,53.9406%)
         44047: (188.123,72.9281,63.9012) #BC4940 srgb(73.7738%,28.60%,25.0593%)
         34458: (197.929,160.535,100.456) #C6A164 srgb(77.6193%,62.96%,39.3944%)
         46050: (208.537,196.327,182.4) #D1C4B6 srgb(81.7793%,76.99%,71.5293%)
         44630: (224.057,207.567,169.187) #E0D0A9 srgb(87.8655%,81.40%,66.3479%)
