col1,col2,col3,col4,col5
         27681: (79.4957,69.2685,78.4007) #4F454E srgb(31.1748%,27.16%,30.7454%)
         29227: (124.221,120.252,139.02) #7C788B srgb(48.7142%,47.16%,54.5175%)
         34340: (165.655,163.009,162.093) #A6A3A2 srgb(64.9629%,63.92%,63.5658%)
         22474: (187.998,159.602,111.643) #BCA070 srgb(73.7246%,62.59%,43.7816%)
         41439: (197.465,191.424,177.516) #C5BFB2 srgb(77.4372%,75.07%,69.6141%)
         37839: (212.616,213.148,207.29) #D5D5CF srgb(83.3788%,83.59%,81.2901%)
