col1,col2,col3,col4,col5
         52114: (52.6327,40.7442,18.4318) #352912 srgb(20.6403%,15.98%,7.22815%)
         63749: (81.889,52.9413,12.1049) #52350C srgb(32.1133%,20.76%,4.74702%)
         49781: (107.996,75.6979,19.3191) #6C4C13 srgb(42.3515%,29.69%,7.57613%)
         67555: (149.632,100.793,21.9473) #966516 srgb(58.6791%,39.53%,8.60679%)
         14328: (158.52,106.332,69.8495) #9F6A46 srgb(62.1646%,41.70%,27.392%)
         15473: (195.638,150.262,75.5899) #C4964C srgb(76.7207%,58.93%,29.6431%)
