col1,col2,col3,col4,col5
         38759: (66.6125,61.7254,54.3008) #433E36 srgb(26.1225%,24.21%,21.2944%)
         12178: (87.2061,117.188,139.724) #57758C srgb(34.1985%,45.96%,54.7938%)
         49794: (178.853,103.713,24.8005) #B36819 srgb(70.1384%,40.67%,9.72569%)
         27873: (207.963,167.165,86.1362) #D0A756 srgb(81.554%,65.55%,33.7789%)
         30948: (217.27,202.678,164.897) #D9CBA5 srgb(85.204%,79.48%,64.6655%)
         41948: (226.392,152.582,25.4706) #E29919 srgb(88.7812%,59.84%,9.98846%)
