col1,col2,col3,col4,col5
         74374: (40.9061,40.0637,38.5713) #292827 srgb(16.0416%,15.71%,15.126%)
         54596: (81.6707,72.9291,70.2321) #524946 srgb(32.0277%,28.60%,27.542%)
         25659: (119.909,124.639,136.571) #787D89 srgb(47.0231%,48.88%,53.5572%)
         36696: (148.583,98.9159,83.5612) #956354 srgb(58.2678%,38.79%,32.7691%)
         62716: (191.578,183.584,172.039) #C0B8AC srgb(75.1286%,71.99%,67.4661%)
         29959: (197.072,156.907,85.5047) #C59D56 srgb(77.2831%,61.53%,33.5313%)
