col1,col2,col3,col4,col5
         37717: (71.3528,80.5608,50.8369) #475133 srgb(27.9815%,31.59%,19.936%)
         33430: (140.881,105.937,68.5998) #8D6A45 srgb(55.2475%,41.54%,26.9019%)
         26128: (179.713,157.978,92.7358) #B49E5D srgb(70.4758%,61.95%,36.367%)
         48119: (187.153,180.566,164.698) #BBB5A5 srgb(73.3933%,70.81%,64.5875%)
         61900: (220.442,205.791,175.267) #DCCEAF srgb(86.448%,80.70%,68.7321%)
        104206: (226.209,219.621,205.623) #E2DCCE srgb(88.7095%,86.13%,80.6364%)
