col1,col2,col3,col4,col5
        155677: (57.9391,67.2395,69.8449) #3A4346 srgb(22.7212%,26.37%,27.3902%)
         63930: (90.9874,83.0871,97.1635) #5B5361 srgb(35.6813%,32.58%,38.1033%)
         20241: (136.138,138.094,115.749) #888A74 srgb(53.3874%,54.15%,45.3917%)
         55915: (141.903,108.076,81.9759) #8E6C52 srgb(55.6482%,42.38%,32.1474%)
         58853: (185.678,191.77,162.968) #BAC0A3 srgb(72.8147%,75.20%,63.9091%)
         83984: (202.712,207.352,173.885) #CBCFAE srgb(79.495%,81.31%,68.1903%)
