class,family,threatened_status,n
Magnoliopsida,Proteaceae,Critically Endangered,28
Magnoliopsida,Proteaceae,Endangered,58
Magnoliopsida,Proteaceae,Extinct,2
Magnoliopsida,Proteaceae,Vulnerable,46
Magnoliopsida,Ranunculaceae,Critically Endangered,1
Magnoliopsida,Ranunculaceae,Endangered,1
Magnoliopsida,Ranunculaceae,Vulnerable,2
Magnoliopsida,Rhamnaceae,Critically Endangered,6
Magnoliopsida,Rhamnaceae,Endangered,5
Magnoliopsida,Rhamnaceae,Vulnerable,13
Magnoliopsida,Rhizophoraceae,Critically Endangered,1
Magnoliopsida,Rubiaceae,Critically Endangered,1
Magnoliopsida,Rubiaceae,Endangered,5
Magnoliopsida,Rubiaceae,Extinct,1
Magnoliopsida,Rubiaceae,Vulnerable,4
Magnoliopsida,Rutaceae,Critically Endangered,16
Magnoliopsida,Rutaceae,Endangered,28
Magnoliopsida,Rutaceae,Vulnerable,38
Magnoliopsida,Salicaceae,Endangered,1
Magnoliopsida,Santalaceae,Endangered,2
Magnoliopsida,Santalaceae,Vulnerable,2
Magnoliopsida,Sapindaceae,Critically Endangered,1
Magnoliopsida,Sapindaceae,Endangered,7
Magnoliopsida,Sapindaceae,Vulnerable,4
Magnoliopsida,Sapotaceae,Endangered,2
Magnoliopsida,Scrophulariaceae,Critically Endangered,6
Magnoliopsida,Scrophulariaceae,Endangered,7
Magnoliopsida,Scrophulariaceae,Extinct,1
Magnoliopsida,Scrophulariaceae,Vulnerable,9
Magnoliopsida,Simaroubaceae,Endangered,1
Magnoliopsida,Simaroubaceae,Vulnerable,1
Magnoliopsida,Solanaceae,Critically Endangered,1
Magnoliopsida,Solanaceae,Endangered,6
Magnoliopsida,Solanaceae,Extinct,1
Magnoliopsida,Solanaceae,Vulnerable,3
Magnoliopsida,Sterculiaceae,Critically Endangered,2
Magnoliopsida,Sterculiaceae,Endangered,3
Magnoliopsida,Sterculiaceae,Extinct,1
Magnoliopsida,Sterculiaceae,Vulnerable,5
Magnoliopsida,Stylidiaceae,Critically Endangered,3
Magnoliopsida,Stylidiaceae,Endangered,4
Magnoliopsida,Stylidiaceae,Vulnerable,1
Magnoliopsida,Surianaceae,Vulnerable,1
Magnoliopsida,Symplocaceae,Vulnerable,1
Magnoliopsida,Thymelaeaceae,Critically Endangered,5
Magnoliopsida,Thymelaeaceae,Endangered,3
Magnoliopsida,Thymelaeaceae,Vulnerable,5
Magnoliopsida,Tiliaceae,Endangered,1
Magnoliopsida,Urticaceae,Critically Endangered,2
Magnoliopsida,Verbenaceae,Vulnerable,2
Magnoliopsida,Violaceae,Critically Endangered,2
Magnoliopsida,Violaceae,Endangered,1
Magnoliopsida,Violaceae,Vulnerable,1
Magnoliopsida,Winteraceae,Vulnerable,1
