film,year,values_run_time_norm_scale,values_budget_norm_scale,values_box_office_norm_scale,values_rotten_toms_score_norm_scale,values_profit_norm_scale,av_score_run_time_norm_scale,av_score_budget_norm_scale,av_score_box_office_norm_scale,av_score_rotten_toms_score_norm_scale,av_score_profit_norm_scale
Virgin Suicides,2000,1.2121212121212122,1.0583333333333333,1,1.6052631578947367,1.0065197282496394,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
Marie Antoinette,2006,2,2,1.4664582718007646,1,1,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
Lost in Translation,2003,1.3636363636363638,1,2,2,2,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
Somewhere,2010,1.2121212121212122,1.0833333333333333,1.0446975042219258,1.3421052631578947,1.0232875294219062,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
The Bling Ring,2013,1,1.1166666666666667,1.0900967764139098,1.0789473684210527,1.0332590142894058,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
The Beguidled,2017,1.0909090909090908,1.1666666666666667,1.1612472491184125,1.5526315789473686,1.0449028929199062,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
Priscilla,2023,1.696969696969697,1.4444444444444444,1.208048173235275,1.7105263157894737,1.0044017312778828,1.367965367965368,1.267063492063492,1.2815068535414698,1.4699248120300752,1.1589101280226772
